verb_class,noun_class,avg_mae,avg_quality_score,avg_output
9,22,0.36041291058063507,0.5,0.43746346
65,124,0.3603217601776123,0.0,0.36032176
21,92,0.3559117607537434,0.3370568028462765,0.48590025
36,47,0.3539086950791849,0.2128378378378378,0.56674653
44,22,0.35195672512054443,0.0,0.35195673
1,50,0.3518671382356573,0.10185185185185186,0.453719
0,9,0.3517103554282783,0.44163828374354686,0.35830802
39,25,0.35130112735848673,0.4078947368421053,0.75919586
7,69,0.34813322292433846,0.7222222222222222,0.3900288
1,60,0.3456917703151703,0.0,0.34569177
12,13,0.34547704458236694,0.0,0.34547704
4,206,0.3430536819828881,0.7222222222222222,0.37916854
9,38,0.33987667872792204,0.47619047619047616,0.58807576
0,2,0.339201658199995,0.28596866096866097,0.4323997
1,31,0.33913602294425627,0.2426244343891403,0.50664866
0,120,0.33799202055544453,0.7635135135135134,0.4255215
12,73,0.3363039791584015,0.0,0.33630398
9,43,0.3356919574298707,0.27407579993786885,0.38195643
0,55,0.33245548605918884,0.0,0.3324555
70,65,0.3305666446685791,0.0,0.33056664
14,4,0.32965918921906023,0.4184782608695653,0.2619524
4,49,0.3293574565932863,0.9404761904761904,0.61111873
2,29,0.32901991342569337,0.7240259740259741,0.39500606
12,139,0.32882803512944114,0.7222222222222222,0.39339417
4,19,0.3281702640742995,0.43480382296171766,0.6936193
24,30,0.32639152946926286,0.9404761904761904,0.61408466
22,5,0.32636458426713943,0.0,0.32636458
2,77,0.3252037763595581,1.0,0.6747962
0,7,0.32406451377615586,0.5032796660703638,0.533895
3,209,0.32405784726142883,0.5,0.44523826
19,30,0.32309472892019486,0.4444444444444444,0.76753914
9,71,0.32298061094382235,0.683075933075933,0.36009532
0,94,0.32206794390311605,0.1634615384615385,0.48552948
24,139,0.3219633494552814,0.736842105263158,0.41487876
0,39,0.3203007959184192,0.5658730158730159,0.41667756
26,7,0.3196886479854584,0.0,0.31968865
11,37,0.31808939576148987,0.0,0.3180894
11,87,0.3179616497622596,0.7222222222222222,0.4140995
22,162,0.31675711274147034,0.0,0.3167571
7,62,0.31590963734520805,0.7222222222222222,0.40631258
2,6,0.31454426539007313,0.794973544973545,0.48493922
31,93,0.3140326572789086,0.7222222222222222,0.40818956
39,19,0.31399177180396187,0.2222222222222222,0.536214
10,34,0.31321423529529263,0.6199370453402712,0.5721893
1,27,0.3130052404271232,0.2222222222222222,0.5352275
40,23,0.31202784180641174,0.0,0.31202784
1,42,0.3111601173877716,0.0,0.31116012
22,119,0.31021714376078713,0.2222222222222222,0.53243935
0,220,0.3094416558742523,0.0,0.30944166
47,53,0.3083329278009909,0.6296296296296297,0.3212967
16,115,0.308192597495185,0.7222222222222222,0.44422668
10,55,0.307909669762566,0.2119047619047619,0.51981443
65,24,0.3070702287885878,0.4444444444444444,0.7515147
40,53,0.3069428967105018,0.2222222222222222,0.52916515
16,55,0.3063326801113809,0.44360269360269355,0.43431404
12,26,0.3058899296891121,0.6752450980392156,0.4009443
23,86,0.3052088343070454,0.6471291866028708,0.37066224
5,5,0.3042032107263495,0.5449016563146998,0.33818585
19,51,0.30381845969420207,0.326923076923077,0.63074154
3,99,0.3036473481743424,0.14814814814814814,0.4462842
9,68,0.3035219288440554,0.6247464503042597,0.37697178
5,33,0.30247043681884905,0.5743464052287581,0.52097225
0,16,0.30202747251950846,0.3551677618573036,0.47064382
13,122,0.30107298493385315,0.0,0.30107298
2,72,0.29931719312902355,0.23825136612021858,0.53756857
18,25,0.2992784498553527,0.20394736842105265,0.5032258
18,139,0.29839951202036835,0.6924603174603174,0.3940608
0,43,0.29830662304625793,0.4553839553839553,0.26128882
0,76,0.29819536209106445,0.0,0.29819536
3,33,0.2961975814480531,0.20394736842105265,0.5000059
0,28,0.29581349841271987,0.555050505050505,0.47366923
0,14,0.2953817168092035,0.5014325202478512,0.43762636
2,87,0.29508328437805176,0.0,0.29508328
5,1,0.29455334320850585,0.4542103948025987,0.39760742
27,83,0.2937252892030252,0.2128378378378378,0.5065631
6,50,0.2934348655713571,0.2128378378378378,0.5062727
0,20,0.29229082650938787,0.4353984206443223,0.40822873
2,20,0.29197725653648376,0.0,0.29197726
1,5,0.28961148032415723,0.5338760273542882,0.45647764
5,16,0.28848022825357916,0.6118233618233618,0.3640761
0,18,0.2873517780796348,0.5512967512967513,0.3512244
0,72,0.28679913552034464,0.6452380952380952,0.48165405
0,40,0.28613956325070955,0.403169014084507,0.3183087
19,41,0.2858363530702061,0.6111111111111112,0.4242019
19,131,0.28536562787161934,0.7222222222222222,0.5482737
8,24,0.2850897963698562,0.5323573573573575,0.5591155
94,35,0.28486739264594185,0.7222222222222222,0.44676924
1,37,0.2846538888083564,0.7222222222222222,0.4754953
10,85,0.2830227315425873,0.0,0.28302273
1,67,0.28295312413224716,0.36746760430970954,0.520009
19,76,0.2826521529091729,0.7222222222222222,0.43957007
20,7,0.2811183405889047,0.2128378378378378,0.49395618
0,29,0.2806036934092804,0.6657509157509157,0.40932816
0,19,0.280291442084409,0.42864372469635625,0.4847108
19,48,0.2802709132491032,0.28411306042884993,0.564384
56,7,0.27877306938171387,0.0,0.27877307
3,55,0.2785976098643409,0.7222222222222222,0.5848379
0,21,0.2769132308543675,0.5555555555555556,0.5174381
